"","M0","M0.96","M2.04","M3","M6","M9","M12","M24","M36","M48","M60","M72","M84","M96","M108","M120","M180","M240","M360","M480","M600"
"2006-03-01",1.4,NA,NA,NA,1.5891,NA,1.68,1.85,2.0052,NA,2.364,NA,2.65,NA,NA,2.9,3.2842,3.46,3.5,NA,NA
"2006-03-02",1.41,NA,NA,NA,1.52,NA,1.69,1.86,2.02,NA,2.44,NA,2.66,NA,NA,2.9,3.26,3.45,3.51,NA,NA
"2006-03-03",1.4,NA,NA,NA,1.51,NA,1.68,1.84,2,NA,2.42,NA,2.64,NA,NA,2.87,3.23,3.43,3.5,NA,NA
"2006-03-06",1.44,NA,NA,NA,1.56,NA,1.73,1.85,2.04,NA,2.46,NA,2.68,NA,NA,2.93,3.27,3.47,3.54,NA,NA
"2006-03-07",1.4,NA,NA,NA,1.53,NA,1.71,1.83,2.02,NA,2.43,NA,2.65,NA,NA,2.9,3.25,3.45,3.52,NA,NA
"2006-03-08",1.38,NA,NA,NA,1.52,NA,1.69,1.81,2.01,NA,2.4,NA,2.61,NA,NA,2.88,3.23,3.43,3.48,NA,NA
"2006-03-09",1.38,NA,NA,NA,1.53,NA,1.68,1.81,2.01,NA,2.39,NA,2.61,NA,NA,2.88,3.22,3.43,3.48,NA,NA
"2006-03-10",1.39,NA,NA,NA,1.53,NA,1.67,1.82,2.02,NA,2.4,NA,2.61,NA,NA,2.89,3.23,3.43,3.48,NA,NA
"2006-03-13",1.4,NA,NA,NA,1.54,NA,1.68,1.83,2.03,NA,2.41,NA,2.61,NA,NA,2.9,3.24,3.44,3.48,NA,NA
"2006-03-14",1.41,NA,NA,NA,1.55,NA,1.69,1.84,2.02,NA,2.4,NA,2.61,NA,NA,2.9,3.24,3.44,3.49,NA,NA
"2006-03-15",1.43,NA,NA,NA,1.57,NA,1.71,1.85,2.03,NA,2.4,NA,2.6,NA,NA,2.91,3.23,3.44,3.5,NA,NA
"2006-03-16",1.44,NA,NA,NA,1.58,NA,1.72,1.86,2.02,NA,2.39,NA,2.6,NA,NA,2.91,3.24,3.44,3.51,NA,NA
"2006-03-17",1.42,NA,NA,NA,1.56,NA,1.7,1.84,2.01,NA,2.37,NA,2.59,NA,NA,2.92,3.24,3.44,3.5,NA,NA
"2006-03-20",1.44,NA,NA,NA,1.58,NA,1.71,1.85,2.02,NA,2.38,NA,2.6,NA,NA,2.93,3.25,3.44,3.52,NA,NA
"2006-03-21",1.43,NA,NA,NA,1.57,NA,1.7,1.84,2.01,NA,2.37,NA,2.59,NA,NA,2.92,3.24,3.43,3.51,NA,NA
"2006-03-22",1.45,NA,NA,NA,1.58,NA,1.71,1.84,2.03,NA,2.385,NA,2.6,NA,NA,2.93,3.25,3.44,3.52,NA,NA
"2006-03-23",1.42,NA,NA,NA,1.6,NA,1.69,1.9,2.1,NA,2.49,NA,2.71,NA,NA,2.912,3.27,3.45,3.53,NA,NA
"2006-03-24",1.4,NA,NA,NA,1.58,NA,1.68,1.89,2.0898,NA,2.48,NA,2.723,NA,NA,2.9,3.26,3.44,3.52,NA,NA
"2006-03-27",1.39,NA,NA,NA,1.61,NA,1.7141,1.93,2.15,NA,2.5537,NA,2.66,NA,NA,2.92,3.2137,3.45,3.52,NA,NA
"2006-03-28",1.37,NA,NA,NA,1.6,NA,1.7003,1.93,2.1058,NA,2.5631,NA,2.65,NA,NA,2.92,3.2399,3.43,3.52,NA,NA
"2006-03-29",1.36,NA,NA,NA,1.62,NA,1.7029,1.93,2.19,NA,2.5605,NA,2.67,NA,NA,2.94,3.2392,3.45,3.5,NA,NA
"2006-03-30",1.37,NA,NA,NA,1.64,NA,1.72,1.92,2.1404,NA,2.4655,NA,2.67,NA,NA,2.94,3.238,3.43,3.5,NA,NA
"2006-03-31",1.36,NA,NA,NA,1.64,NA,1.71,1.91,2.1355,NA,2.5669,NA,2.68,NA,NA,2.94,3.228,3.45,3.5,NA,NA
"2006-04-03",1.35,NA,NA,NA,1.64,NA,1.72,1.91,1.9968,NA,2.4687,NA,2.6847,NA,NA,2.92,3.2,3.43,3.52,NA,NA
"2006-04-04",1.36,NA,NA,NA,1.6154,NA,1.7254,1.94,2.0001,NA,2.4804,NA,2.722,NA,NA,2.92,3.26,3.46,3.53,NA,NA
"2006-04-05",1.37,NA,NA,NA,1.6,NA,1.702,1.94,2.1657,NA,2.4963,NA,2.67,NA,NA,2.91,3.3141,3.48,3.51,NA,NA
"2006-04-06",1.365,NA,NA,NA,1.58,NA,1.6916,1.9345,2.1731,NA,2.4873,NA,2.67,NA,NA,2.94,3.2868,3.47,3.5,NA,NA
"2006-04-07",1.35,NA,NA,NA,1.55,NA,1.64,1.86,2.05,NA,2.48,NA,2.69,NA,NA,2.9291,3.26,3.4328,3.5,NA,NA
"2006-04-10",1.35,NA,NA,NA,1.55,NA,1.6551,1.88,2.1091,NA,2.5678,NA,2.69,NA,NA,2.93,3.2406,3.43,3.51,NA,NA
"2006-04-11",1.37,NA,NA,NA,1.57,NA,1.6661,1.89,2.1549,NA,2.5816,NA,2.7069,NA,NA,2.97,3.239,3.45,3.53,NA,NA
"2006-04-12",1.39,NA,NA,NA,1.59,NA,1.6892,1.91,2.1656,NA,2.5865,NA,2.713,NA,NA,2.98,3.26,3.45,3.5483,NA,NA
"2006-04-13",1.39,NA,NA,NA,1.57,NA,1.7,1.9,2.1577,NA,2.5866,NA,2.72,NA,NA,2.9405,3.2556,3.46,3.55,NA,NA
"2006-04-14",1.4,NA,NA,NA,1.58,NA,1.7083,1.92,2.1731,NA,2.6051,NA,2.73,NA,NA,2.95,3.2618,3.48,3.55,NA,NA
"2006-04-17",1.43,NA,NA,NA,1.6,NA,1.705,1.95,2.2,NA,2.6369,NA,2.75,NA,NA,2.94,3.3,3.5,3.58,NA,NA
"2006-04-18",1.45,NA,NA,NA,1.64,NA,1.7077,1.99,2.25,NA,2.6293,NA,2.78,NA,NA,3.01,3.36,3.55,3.602,NA,NA
"2006-04-19",1.46,NA,NA,NA,1.63,NA,1.7,1.98,2.24,NA,2.6365,NA,2.777,NA,NA,3.01,3.35,3.53,3.602,NA,NA
"2006-04-20",1.45,NA,NA,NA,1.62,NA,1.7074,2,2.2694,NA,2.6029,NA,2.7718,NA,NA,3,3.393,3.53,3.6,NA,NA
"2006-04-21",1.47,NA,NA,NA,1.62,NA,1.72,1.98,2.2471,NA,2.605,NA,2.76,NA,NA,3.048,3.374,3.53,3.6,NA,NA
"2006-04-24",1.49,NA,NA,NA,1.62,NA,1.7023,1.9844,2.2738,NA,2.6076,NA,2.7248,NA,NA,3.05,3.37,3.54,3.6,NA,NA
"2006-04-25",1.49,NA,NA,NA,1.63,NA,1.7205,2.02,2.2757,NA,2.6217,NA,2.7888,NA,NA,3.06,3.41,3.55,3.65,NA,NA
"2006-04-26",1.48,NA,NA,NA,1.65,NA,1.7,2.02,2.2709,NA,2.62,NA,2.79,NA,NA,3.05,3.4173,3.55,3.65,NA,NA
"2006-04-27",1.45,NA,NA,NA,1.63,NA,1.7331,2.02,2.2714,NA,2.6,NA,2.78,NA,NA,3.01,3.4214,3.56,3.6,NA,NA
"2006-04-28",1.42,NA,NA,NA,1.62,NA,1.721,2,2.28,NA,2.56,NA,2.74,NA,NA,3.01,3.4,3.55,3.6,NA,NA
"2006-04-29",1.41,NA,NA,NA,1.65,NA,1.7192,1.97,2.2595,NA,2.5579,NA,2.73,NA,NA,3,3.38,3.53,3.6,NA,NA
"2006-04-30",1.43,NA,NA,NA,1.63,NA,1.725,1.95,2.24,NA,2.54,NA,2.72,NA,NA,3,3.38,3.52,3.6,NA,NA
"2006-05-08",1.42,NA,NA,NA,1.65,NA,1.71,1.98,2.24,NA,2.543,NA,2.75,NA,NA,3.02,3.39,3.52,3.6,NA,NA
"2006-05-09",1.41,NA,NA,NA,1.63,NA,1.71,1.96,2.22,NA,2.52,NA,2.72,NA,NA,3,3.38,3.5,3.58,NA,NA
"2006-05-10",1.39,NA,NA,NA,1.6,NA,1.6883,1.98,2.2341,NA,2.5392,NA,2.7,NA,NA,3,3.38,3.49,3.6,NA,NA
"2006-05-11",1.415,NA,NA,NA,1.62,NA,1.6944,1.98,2.189,NA,2.52,NA,2.6471,NA,NA,3,3.38,3.4782,3.55,NA,NA
"2006-05-12",1.43,NA,NA,NA,1.64,NA,1.74,1.98,2.2131,NA,2.55,NA,2.7104,NA,NA,3.02,3.38,3.48,3.575,NA,NA
"2006-05-15",1.47,NA,NA,NA,1.65,NA,1.77,2,2.2218,NA,2.57,NA,2.7045,NA,NA,3.03,3.4,3.54,3.6,NA,NA
"2006-05-16",1.46,NA,NA,NA,1.68,NA,1.78,2.01,2.2255,NA,2.48,NA,2.7269,NA,NA,3.02,3.38,3.52,3.62,NA,NA
"2006-05-17",1.44,NA,NA,NA,1.65,NA,1.75,1.98,2.24,NA,2.45,NA,2.7,NA,NA,3,3.36,3.5,3.6,NA,NA
"2006-05-18",1.44,NA,NA,NA,1.66,NA,1.7401,1.98,2.25,NA,2.45,NA,2.71,NA,NA,3,3.35,3.51,3.6,NA,NA
"2006-05-19",1.43,NA,NA,NA,1.66,NA,1.7379,1.97,2.23,NA,2.45,NA,2.7,NA,NA,2.99,3.34,3.51,3.62,NA,NA
"2006-05-22",1.44,NA,NA,NA,1.68,NA,1.7293,1.98,2.25,NA,2.45,NA,2.71,NA,NA,3,3.32,3.51,3.62,NA,NA
"2006-05-23",1.45,NA,NA,NA,1.68,NA,1.722,1.98,2.27,NA,2.46,NA,2.73,NA,NA,3.02,3.33,3.51,3.65,NA,NA
"2006-05-24",1.446,NA,NA,NA,1.67,NA,1.7206,2,2.25,NA,2.45,NA,2.67,NA,NA,3,3.29,3.51,3.62,NA,NA
"2006-05-25",1.44,NA,NA,NA,1.65,NA,1.7299,2.01,2.25,NA,2.46,NA,2.67,NA,NA,3,3.3,3.52,3.6,NA,NA
"2006-05-26",1.435,NA,NA,NA,1.65,NA,1.7306,2.02,2.25,NA,2.45,NA,2.67,NA,NA,3,3.32,3.51,3.596,NA,NA
"2006-05-29",1.44,NA,NA,NA,1.65,NA,1.7316,2.04,2.24,NA,2.46,NA,2.69,NA,NA,3.03,3.37,3.55,3.63,NA,NA
"2006-05-30",1.435,NA,NA,NA,1.65,NA,1.7357,2.03,2.23,NA,2.45,NA,2.68,NA,NA,3.02,3.35,3.5341,3.63,NA,NA
"2006-05-31",1.44,NA,NA,NA,1.655,NA,1.7373,2.05,2.24,NA,2.45,NA,2.7,NA,NA,3.02,3.356,3.55,3.62,NA,NA
"2006-06-01",1.45,NA,NA,NA,1.67,NA,1.7451,2.05,2.25,NA,2.46,NA,2.75,NA,NA,3.03,3.35,3.58,3.63,NA,NA
"2006-06-02",1.475,NA,NA,NA,1.69,NA,1.7745,2.06,2.28,NA,2.48,NA,2.76,NA,NA,3.05,3.35,3.58,3.65,NA,NA
"2006-06-05",1.485,NA,NA,NA,1.72,NA,1.798,2.09,2.32,NA,2.5,NA,2.75,NA,NA,3.03,3.37,3.58,3.66,NA,NA
"2006-06-06",1.49,NA,NA,NA,1.72,NA,1.802,2.11,2.33,NA,2.54,NA,2.77,NA,NA,3.02,3.38,3.59,3.67,NA,NA
"2006-06-07",1.55,NA,NA,NA,1.73,NA,1.8029,2.15,2.35,NA,2.56,NA,2.79,NA,NA,3.05,3.4,3.6,3.681,NA,NA
"2006-06-08",1.552,NA,NA,NA,1.75,NA,1.8121,2.15,2.33,NA,2.55,NA,2.78,NA,NA,3.05,3.4,3.605,3.65,NA,NA
"2006-06-09",1.57,NA,NA,NA,1.759,NA,1.8439,2.135,2.33,NA,2.55,NA,2.76,NA,NA,3.03,3.36,3.6,3.65,NA,NA
"2006-06-12",1.57,NA,NA,NA,1.75,NA,1.8874,2.12,2.32,NA,2.56,NA,2.77,NA,NA,3.05,3.36,3.6,3.65,NA,NA
"2006-06-13",1.48,NA,NA,NA,1.78,NA,1.8963,2.15,2.38,NA,2.6515,NA,2.78,NA,NA,3.08,3.38,3.66,3.7,NA,NA
"2006-06-14",1.5,NA,NA,NA,1.79,NA,1.93,2.15,2.39,NA,2.6951,NA,2.78,NA,NA,3.09,3.39,3.65,3.7,NA,NA
"2006-06-15",1.52,NA,NA,NA,1.8,NA,1.95,2.18,2.4,NA,2.6744,NA,2.79,NA,NA,3.1,3.4,3.64,3.72,NA,NA
"2006-06-16",1.51,NA,NA,NA,1.8,NA,1.95,2.19,2.43,NA,2.6587,NA,2.79,NA,NA,3.1,3.4,3.64,3.7,NA,NA
"2006-06-19",1.53,NA,NA,NA,1.81,NA,2,2.2,2.45,NA,2.7264,NA,2.8,NA,NA,3.12,3.41,3.65,3.72,NA,NA
"2006-06-20",1.55,NA,NA,NA,1.84,NA,2,2.22,2.48,NA,2.7,NA,2.85,NA,NA,3.1,3.42,3.65,3.7,NA,NA
"2006-06-21",1.57,NA,NA,NA,1.9,NA,2.03,2.23,2.5,NA,2.72,NA,2.9,NA,NA,3.15,3.44,3.68,3.73,NA,NA
"2006-06-22",1.58,NA,NA,NA,1.91,NA,2.03,2.24,2.48,NA,2.725,NA,2.9,NA,NA,3.12,3.43,3.65,3.75,NA,NA
"2006-06-23",1.575,NA,NA,NA,1.9,NA,2.02,2.25,2.49,NA,2.74,NA,2.9,NA,NA,3.13,3.45,3.7,3.75,NA,NA
"2006-06-26",1.565,NA,NA,NA,1.88,NA,2.01,2.23,2.48,NA,2.72,NA,2.9,NA,NA,3.15,3.48,3.72,3.78,NA,NA
"2006-06-27",1.58,NA,NA,NA,1.86,NA,1.99,2.22,2.47,NA,2.725,NA,2.9,NA,NA,3.15,3.48,3.7,3.8,NA,NA
"2006-06-28",1.56,NA,NA,NA,1.9,NA,2.02,2.23,2.49,NA,2.72,NA,2.91,NA,NA,3.15,3.485,3.71,3.81,NA,NA
"2006-06-29",1.6,NA,NA,NA,1.81,NA,2,2.215,2.485,NA,2.64,NA,2.9805,NA,NA,3.15,3.48,3.7,3.8,NA,NA
"2006-06-30",1.61,NA,NA,NA,1.86,NA,2.01,2.23,2.48,NA,2.72,NA,2.93,NA,NA,3.165,3.48,3.7,3.8,NA,NA
"2006-07-03",1.65,NA,NA,NA,1.85,NA,2.007,2.22,2.48,NA,2.715,NA,2.928,NA,NA,3.159,3.48,3.66,3.8,NA,NA
"2006-07-04",1.68,NA,NA,NA,1.85,NA,2,2.23,2.47,NA,2.7,NA,2.92,NA,NA,3.15,3.47,3.7,3.81,NA,NA
"2006-07-05",1.72,NA,NA,NA,1.86,NA,2,2.25,2.48,NA,2.72,NA,2.92,NA,NA,3.18,3.48,3.71,3.81,NA,NA
"2006-07-06",1.71,NA,NA,NA,1.85,NA,1.994,2.26,2.49,NA,2.72,NA,2.93,NA,NA,3.172,3.5,3.7119,3.81,NA,NA
"2006-07-07",1.7,NA,NA,NA,1.84,NA,1.99,2.21,2.48,NA,2.718,NA,2.92,NA,NA,3.18,3.49,3.72,3.81,NA,NA
"2006-07-10",1.69,NA,NA,NA,1.83,NA,1.991,2.17,2.45,NA,2.68,NA,2.91,NA,NA,3.1729,3.47,3.71,3.8,NA,NA
"2006-07-11",1.685,NA,NA,NA,1.82,NA,1.965,2.156,2.42,NA,2.65,NA,2.9,NA,NA,3.1689,3.45,3.68,3.76,NA,NA
"2006-07-12",1.698,NA,NA,NA,1.83,NA,1.98,2.21,2.394,NA,2.67,NA,2.93,NA,NA,3.2,3.51,3.7226,3.85,NA,NA
"2006-07-13",1.715,NA,NA,NA,1.818,NA,1.995,2.23,2.4135,NA,2.7151,NA,2.9826,NA,NA,3.23,3.53,3.7357,3.875,NA,NA
"2006-07-14",1.719,NA,NA,NA,1.871,NA,2,2.233,2.515,NA,2.81,NA,2.945,NA,NA,3.235,3.535,3.74,3.88,NA,NA
"2006-07-17",1.721,NA,NA,NA,1.87,NA,2.0116,2.21,2.48,NA,2.79,NA,2.92,NA,NA,3.2,3.5,3.72,3.8,NA,NA
"2006-07-18",1.72,NA,NA,NA,1.865,NA,1.9872,2.22,2.495,NA,2.805,NA,2.92,NA,NA,3.2,3.5,3.7168,3.8,NA,NA
"2006-07-19",1.73,NA,NA,NA,1.86,NA,1.98,2.22,2.4409,NA,2.7468,NA,2.93,NA,NA,3.19,3.53,3.73,3.81,NA,NA
"2006-07-20",1.731,NA,NA,NA,1.863,NA,2.01,2.23,2.4416,NA,2.7363,NA,2.938,NA,NA,3.2,3.54,3.75,3.83,NA,NA
"2006-07-21",1.739,NA,NA,NA,1.87,NA,2.009,2.235,2.48,NA,2.762,NA,2.95,NA,NA,3.2,3.55,3.76,3.84,NA,NA
"2006-07-24",1.86,NA,NA,NA,2.1,NA,2.21,2.32,2.55,NA,2.87,NA,3.03,NA,NA,3.25,3.59,3.78,3.85,NA,NA
"2006-07-25",1.872,NA,NA,NA,2.12,NA,2.215,2.35,2.52,NA,2.82,NA,3.01,NA,NA,3.24,3.58,3.78,3.86,NA,NA
"2006-07-26",1.88,NA,NA,NA,2.15,NA,2.25,2.36,2.5343,NA,2.83,NA,3.03,NA,NA,3.25,3.58,3.79,3.87,NA,NA
"2006-07-27",1.87,NA,NA,NA,2.11,NA,2.22,2.35,2.52,NA,2.8,NA,3.01,NA,NA,3.275,3.58,3.79,3.85,NA,NA
"2006-07-28",1.89,NA,NA,NA,2.1,NA,2.2,2.35,2.53,NA,2.8,NA,3,NA,NA,3.25,3.56,3.77,3.86,NA,NA
"2006-07-31",1.895,NA,NA,NA,2.12,NA,2.23,2.36,2.5209,NA,2.7799,NA,3.0423,NA,NA,3.26,3.58,3.79,3.88,NA,NA
"2006-08-01",1.8945,NA,NA,NA,2.1,NA,2.22,2.35,2.5126,NA,2.7787,NA,3.0408,NA,NA,3.25,3.57,3.77,3.86,NA,NA
"2006-08-02",1.895,NA,NA,NA,2.1,NA,2.22,2.35,2.5128,NA,2.7991,NA,3.0292,NA,NA,3.25,3.57,3.77,3.86,NA,NA
"2006-08-03",1.89,NA,NA,NA,2.0659,NA,2.21,2.34,2.4936,NA,2.7905,NA,3.02,NA,NA,3.24,3.56,3.758,3.86,NA,NA
"2006-08-04",1.89,NA,NA,NA,2.129,NA,2.207,2.336,2.505,NA,2.84,NA,3.01,NA,NA,3.25,3.57,3.76,3.86,NA,NA
"2006-08-07",1.89,NA,NA,NA,2.13,NA,2.207,2.335,2.505,NA,2.84,NA,3.01,NA,NA,3.25,3.57,3.77,3.86,NA,NA
"2006-08-08",1.89,NA,NA,NA,2.13,NA,2.207,2.335,2.52,NA,2.81,NA,3.01,NA,NA,3.25,3.57,3.77,3.86,NA,NA
"2006-08-09",1.885,NA,NA,NA,2.125,NA,2.195,2.35,2.52,NA,2.815,NA,3.016,NA,NA,3.26,3.575,3.77,3.86,NA,NA
"2006-08-10",1.865,NA,NA,NA,2.115,NA,2.195,2.35,2.52,NA,2.81,NA,3.011,NA,NA,3.26,3.575,3.77,3.86,NA,NA
"2006-08-11",1.85,NA,NA,NA,2.1,NA,2.184,2.345,2.515,NA,2.805,NA,3.0056,NA,NA,3.255,3.572,3.77,3.86,NA,NA
"2006-08-14",1.85,NA,NA,NA,2.09,NA,2.165,2.34,2.501,NA,2.775,NA,2.985,NA,NA,3.245,3.57,3.765,3.855,NA,NA
"2006-08-15",1.835,NA,NA,NA,2.075,NA,2.152,2.33,2.492,NA,2.765,NA,2.975,NA,NA,3.245,3.565,3.762,3.853,NA,NA
"2006-08-16",1.81,NA,NA,NA,2.035,NA,2.102,2.3,2.47,NA,2.753,NA,2.95,NA,NA,3.24,3.56,3.75,3.885,NA,NA
"2006-08-17",1.805,NA,NA,NA,2.015,NA,2.09,2.291,2.465,NA,2.75,NA,2.95,NA,NA,3.24,3.55,3.75,3.865,NA,NA
"2006-08-18",1.79,NA,NA,NA,1.98,NA,2.05,2.29,2.455,NA,2.73,NA,2.92,NA,NA,3.2,3.52,3.73,3.86,NA,NA
"2006-08-21",1.852,NA,NA,NA,2.05,NA,2.125,2.356,2.532,NA,2.802,NA,2.973,NA,NA,3.26,3.562,3.803,3.895,NA,NA
"2006-08-22",1.831,NA,NA,NA,2.025,NA,2.103,2.341,2.521,NA,2.789,NA,2.961,NA,NA,3.254,3.557,3.793,3.886,NA,NA
"2006-08-23",1.826,NA,NA,NA,2.018,NA,2.1,2.336,2.518,NA,2.779,NA,2.951,NA,NA,3.251,3.55,3.786,3.878,NA,NA
"2006-08-24",1.821,NA,NA,NA,2.006,NA,2.085,2.32,2.51,NA,2.772,NA,2.948,NA,NA,3.248,3.546,3.78,3.872,NA,NA
"2006-08-25",1.815,NA,NA,NA,1.976,NA,2.065,2.3,2.502,NA,2.765,NA,2.95,NA,NA,3.2389,3.54,3.775,3.865,NA,NA
"2006-08-28",1.815,NA,NA,NA,1.955,NA,2.045,2.28,2.485,NA,2.76,NA,2.975,NA,NA,3.256,3.55,3.77,3.86,NA,NA
"2006-08-29",1.81,NA,NA,NA,1.95,NA,2.036,2.27,2.468,NA,2.76,NA,2.97,NA,NA,3.25,3.555,3.765,3.855,NA,NA
"2006-08-30",1.81,NA,NA,NA,1.95,NA,2.035,2.261,2.454,NA,2.75,NA,2.94,NA,NA,3.24,3.55,3.76,3.85,NA,NA
"2006-08-31",1.809,NA,NA,NA,1.955,NA,2.031,2.259,2.451,NA,2.75,NA,2.941,NA,NA,3.238,3.545,3.75,3.845,NA,NA
"2006-09-01",1.819,NA,NA,NA,1.965,NA,2.048,2.269,2.462,NA,2.745,NA,2.925,NA,NA,3.23,3.54,3.745,3.845,NA,NA
"2006-09-04",1.801,NA,NA,NA,1.925,NA,2.037,2.264,2.458,NA,2.74,NA,2.92,NA,NA,3.23,3.54,3.74,3.845,NA,NA
"2006-09-05",1.798,NA,NA,NA,1.921,NA,2.041,2.269,2.46,NA,2.735,NA,2.92,NA,NA,3.225,3.54,3.735,3.845,NA,NA
"2006-09-06",1.798,NA,NA,NA,1.925,NA,2.045,2.269,2.465,NA,2.73,NA,2.921,NA,NA,3.21,3.525,3.718,3.84,NA,NA
"2006-09-07",1.799,NA,NA,NA,1.923,NA,2.04,2.261,2.461,NA,2.721,NA,2.91,NA,NA,3.201,3.513,3.712,3.835,NA,NA
"2006-09-08",1.798,NA,NA,NA,1.922,NA,2.041,2.263,2.465,NA,2.725,NA,2.908,NA,NA,3.2,3.51,3.705,3.83,NA,NA
"2006-09-11",1.799,NA,NA,NA,1.921,NA,2.04,2.258,2.466,NA,2.728,NA,2.91,NA,NA,3.2,3.51,3.685,3.815,NA,NA
"2006-09-12",1.789,NA,NA,NA,1.9338,NA,2.0804,2.256,2.4342,NA,2.7212,NA,2.9004,NA,NA,3.18,3.49,3.68,3.8,NA,NA
"2006-09-13",1.783,NA,NA,NA,1.9324,NA,2.045,2.248,2.4372,NA,2.7298,NA,2.9009,NA,NA,3.18,3.492,3.68,3.805,NA,NA
"2006-09-14",1.793,NA,NA,NA,1.9025,NA,2.0113,2.242,2.4391,NA,2.7177,NA,2.9013,NA,NA,3.172,3.489,3.68,3.8,NA,NA
"2006-09-15",1.791,NA,NA,NA,1.9132,NA,2.0146,2.23,2.4149,NA,2.691,NA,2.89,NA,NA,3.17,3.485,3.68,3.8,NA,NA
"2006-09-18",1.781,NA,NA,NA,1.8981,NA,1.9949,2.22,2.422,NA,2.6908,NA,2.9156,NA,NA,3.155,3.48,3.67,3.8,NA,NA
"2006-09-19",1.775,NA,NA,NA,1.8968,NA,1.9956,2.21,2.4154,NA,2.6494,NA,2.8862,NA,NA,3.15,3.48,3.66,3.785,NA,NA
"2006-09-20",1.765,NA,NA,NA,1.8951,NA,1.9943,2.2145,2.4113,NA,2.6315,NA,2.86,NA,NA,3.13,3.46,3.65,3.77,NA,NA
"2006-09-21",1.735,NA,NA,NA,1.8914,NA,1.9851,2.165,2.3711,NA,2.6197,NA,2.8262,NA,NA,3.11,3.45,3.65,3.77,NA,NA
"2006-09-22",1.739,NA,NA,NA,1.8912,NA,1.9822,2.15,2.3594,NA,2.5969,NA,2.7654,NA,NA,3.05,3.4,3.58,3.72,NA,NA
"2006-09-25",1.74,NA,NA,NA,1.8892,NA,1.9819,2.155,2.3541,NA,2.6097,NA,2.7397,NA,NA,3,3.35,3.6,3.7,NA,NA
"2006-09-26",1.75,NA,NA,NA,1.8892,NA,1.9887,2.161,2.3759,NA,2.6314,NA,2.7864,NA,NA,3,3.35,3.6,3.7,NA,NA
"2006-09-27",1.68,NA,1.6914,1.7577,1.8964,1.9647,2.02,2.16,2.3608,NA,2.6353,NA,2.7651,NA,NA,3,3.35,3.6,3.7,NA,NA
"2006-09-28",1.7,NA,1.7208,1.7795,1.8944,1.9663,2.0219,2.16,2.368,NA,2.6348,NA,2.7652,NA,NA,3,3.35,3.6,3.7,NA,NA
"2006-09-29",1.7,NA,1.6942,1.77,1.9175,1.978,2.0159,2.16,2.3611,NA,2.6333,NA,2.75,NA,NA,3,3.35,3.59,3.7,NA,NA
"2006-09-30",1.69,NA,1.693,1.769,1.917,1.975,2.015,2.159,2.361,NA,2.633,NA,2.749,NA,NA,2.999,3.35,3.59,3.7,NA,NA
"2006-10-08",1.69,NA,1.6734,1.765,1.915,1.9913,2.0339,2.17,2.3715,NA,2.6263,NA,2.75,NA,NA,3,3.31,3.56,3.67,NA,NA
"2006-10-09",1.68,NA,1.7042,1.77,1.9,1.9927,2.0378,2.18,2.3695,NA,2.6231,NA,2.8239,NA,NA,3,3.28,3.55,3.65,NA,NA
"2006-10-10",1.679,NA,1.7034,1.78,1.88,1.9946,2.0404,2.18,2.3674,NA,2.6392,NA,2.7992,NA,NA,2.99,3.29,3.52,3.63,NA,NA
"2006-10-11",1.68,NA,1.7362,1.785,1.88,1.9937,2.0403,2.18,2.3676,NA,2.6467,NA,2.8,NA,NA,2.97,3.27,3.51,3.61,NA,NA
"2006-10-12",1.675,NA,1.7014,1.79,1.88,1.9962,2.0416,2.18,2.3518,NA,2.6405,NA,2.79,NA,NA,2.9552,3.26,3.5,3.6,NA,NA
"2006-10-13",1.681,NA,1.701,1.795,1.875,1.9954,2.0419,2.17,2.3211,NA,2.5795,NA,2.77,NA,NA,2.9541,3.25,3.48,3.58,NA,NA
"2006-10-16",1.685,NA,1.7077,1.8,1.9241,2.009,2.0378,2.17,2.3243,NA,2.5808,NA,2.75,NA,NA,2.9567,3.23,3.43,3.53,NA,NA
"2006-10-17",1.691,NA,1.7125,1.794,1.9352,2.0046,2.0358,2.17,2.3222,NA,2.5766,NA,2.757,NA,NA,2.9533,3.22,3.42,3.52,NA,NA
"2006-10-18",1.685,NA,1.7113,1.792,1.9345,1.99,2.0247,2.1809,2.3084,NA,2.5755,NA,2.7572,NA,NA,2.9535,3.22,3.42,3.52,NA,NA
"2006-10-19",1.689,NA,1.7101,1.795,1.9325,1.97,2.0097,2.1516,2.298,NA,2.5759,NA,2.742,NA,NA,2.954,3.22,3.42,3.52,NA,NA
"2006-10-20",1.679,NA,1.7,1.785,1.9188,1.9471,1.9971,2.1714,2.2897,NA,2.5223,NA,2.716,NA,NA,2.9523,3.22,3.43,3.52,NA,NA
"2006-10-23",1.681,NA,1.698,1.782,1.9185,1.9525,2.0029,2.1648,2.2903,NA,2.507,NA,2.708,NA,NA,2.9492,3.22,3.43,3.52,NA,NA
"2006-10-24",1.68,NA,1.7075,1.76,1.919,1.9542,2.004,2.1718,2.2969,NA,2.5,NA,2.71,NA,NA,2.9385,3.23,3.42,3.53,NA,NA
"2006-10-25",1.675,NA,1.7063,1.76,1.9331,1.9534,2.002,2.17,2.2981,NA,2.5,NA,2.7,NA,NA,2.9498,3.23,3.42,3.53,NA,NA
"2006-10-26",1.675,NA,1.7,1.75,1.9211,1.9579,2.0065,2.17,2.2981,NA,2.5464,NA,2.7079,NA,NA,2.9374,3.23,3.42,3.53,NA,NA
